Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Recovery_Rate,Total_cases,Death_Rate
China,4656.0,78869,3258,213.0,4.0,7,5.37,90.88,5.9,85622,1161,1.36,90.88070244172246,86783.0,5.365106069161011
Colombia,8777.0,131161,117163,16306.0,508.0,11494,3.41,51.02,6.69,204005,53096,26.03,51.01535972244371,257101.0,3.4138334740043796
Comoros,7.0,328,19,0.0,0.0,0,1.98,92.66,2.13,334,20,5.99,92.65536723163842,354.0,1.977401129943503
Congo (Brazzaville),54.0,829,2317,162.0,3.0,73,1.69,25.91,6.51,2851,349,12.24,25.906249999999996,3200.0,1.6875
Congo (Kinshasa),208.0,5700,2936,13.0,4.0,190,2.35,64.45,3.65,8443,401,4.75,64.45047489823608,8844.0,2.3518769787426503
Costa Rica,115.0,3824,11902,612.0,11.0,88,0.73,24.14,3.01,11534,4307,37.34,24.139890158449592,15841.0,0.7259642699324538
Cote d'Ivoire,96.0,10361,5198,59.0,0.0,183,0.61,66.18,0.93,14312,1343,9.38,66.18332801022038,15655.0,0.613222612583839
Croatia,139.0,3936,806,24.0,3.0,70,2.85,80.64,3.53,4370,511,11.69,80.63921327596803,4881.0,2.8477770948576113
Cuba,87.0,2351,94,37.0,0.0,2,3.44,92.85,3.7,2446,86,3.52,92.85150078988941,2532.0,3.4360189573459716
Cyprus,19.0,852,189,3.0,0.0,0,1.79,80.38,2.23,1038,22,2.12,80.37735849056604,1060.0,1.7924528301886793
Czechia,373.0,11428,3715,192.0,2.0,0,2.4,73.65,3.26,14098,1418,10.06,73.65300335137923,15516.0,2.4039700953854086
Denmark,613.0,12605,543,109.0,0.0,77,4.45,91.6,4.86,13453,308,2.29,91.59944771455562,13761.0,4.454618123682872
Djibouti,58.0,4977,24,1282.7401129943503,30.401129943502823,11,1.15,98.38,1.17,5020,39,0.78,98.37912630954733,5059.0,1.1464716347104171
Dominica,0.0,18,0,0.0,0.0,0,0.0,100.0,0.0,18,0,0.0,100.0,18.0,0.0
Dominican Republic,1083.0,30204,32869,1248.0,20.0,1601,1.69,47.08,3.59,53956,10200,18.9,47.07899494980984,64156.0,1.688072822495168
Ecuador,5532.0,34896,40733,467.0,17.0,0,6.82,43.0,15.85,74620,6541,8.77,42.9960202560343,81161.0,6.8160816155542685
Egypt,4652.0,34838,52992,420.0,46.0,1007,5.03,37.67,13.35,88402,4080,4.62,37.670033087519734,92482.0,5.0301680326982545
El Salvador,408.0,7778,6849,405.0,8.0,130,2.71,51.73,5.25,12207,2828,23.17,51.73262387761889,15035.0,2.7136681077485867
Equatorial Guinea,51.0,842,2178,0.0,0.0,0,1.66,27.42,6.06,3071,0,0.0,27.417779225008143,3071.0,1.660696841419733
Eritrea,0.0,191,74,2.0,0.0,2,0.0,72.08,0.0,251,14,5.58,72.0754716981132,265.0,0.0
Estonia,69.0,1923,42,0.0,0.0,1,3.39,94.54,3.59,2021,13,0.64,94.54277286135692,2034.0,3.392330383480826
Eswatini,34.0,1025,1257,109.0,2.0,39,1.47,44.26,3.32,1826,490,26.83,44.2573402417962,2316.0,1.468048359240069
Ethiopia,228.0,6386,7933,579.0,5.0,170,1.57,43.9,3.57,10207,4340,42.52,43.899085722142026,14547.0,1.5673334708187256
Fiji,0.0,18,9,0.0,0.0,0,0.0,66.67,0.0,27,0,0.0,66.66666666666666,27.0,0.0
Finland,329.0,6920,149,5.0,0.0,0,4.45,93.54,4.75,7340,58,0.79,93.53879426872128,7398.0,4.447147877804812
France,30212.0,81212,108928,2551.0,17.0,267,13.71,36.86,37.2,214023,6329,2.96,36.855576532094105,220352.0,13.71079000871333
Gabon,49.0,4682,2458,205.0,0.0,219,0.68,65.13,1.05,6433,756,11.75,65.12727778550563,7189.0,0.6815968841285297
Gambia,8.0,66,252,49.0,2.0,6,2.45,20.25,12.12,112,214,191.07,20.245398773006134,326.0,2.4539877300613497
Georgia,16.0,922,199,6.0,0.0,2,1.41,81.09,1.74,1039,98,9.43,81.09058927000879,1137.0,1.4072119613016711
Germany,9125.0,190314,7673,445.0,1.0,259,4.41,91.89,4.79,203325,3787,1.86,91.88941249179187,207112.0,4.405828730348796
Ghana,168.0,29801,3655,655.0,0.0,307,0.5,88.63,0.56,28430,5194,18.27,88.63014513442778,33624.0,0.4996431120628123
Greece,202.0,1374,2651,34.0,0.0,0,4.78,32.51,14.7,4012,215,5.36,32.50532292405961,4227.0,4.778802933522592
Greenland,0.0,13,1,1.0,0.0,0,0.0,92.86,0.0,13,1,7.69,92.85714285714286,14.0,0.0
Grenada,0.0,23,0,0.0,0.0,0,0.0,100.0,0.0,23,0,0.0,100.0,23.0,0.0
Guatemala,1761.0,32455,11093,256.0,27.0,843,3.89,71.63,5.43,39039,6270,16.06,71.63036041404578,45309.0,3.886645037409786
Guinea,45.0,6257,753,47.0,2.0,105,0.64,88.69,0.72,6590,465,7.06,88.6888731396173,7055.0,0.6378454996456413
Guinea-Bissau,26.0,803,1125,0.0,0.0,0,1.33,41.1,3.24,1949,5,0.26,41.095189355168884,1954.0,1.3306038894575232
Guyana,20.0,181,188,1282.7401129943503,30.401129943502823,0,5.14,46.53,11.05,337,52,15.43,46.52956298200514,389.0,5.141388174807198
Haiti,158.0,4365,2817,25.0,1.0,0,2.15,59.47,3.62,7053,287,4.07,59.46866485013624,7340.0,2.1525885558583107
Holy See,0.0,12,0,0.0,0.0,0,0.0,100.0,0.0,12,0,0.0,100.0,12.0,0.0
Honduras,1166.0,5039,33536,465.0,50.0,117,2.93,12.68,23.14,34611,5130,14.82,12.679600412672052,39741.0,2.933997634684583
Hungary,596.0,3329,523,13.0,0.0,0,13.4,74.84,17.9,4339,109,2.51,74.84262589928058,4448.0,13.399280575539569
Iceland,10.0,1823,21,7.0,0.0,0,0.54,98.33,0.55,1839,15,0.82,98.3279395900755,1854.0,0.5393743257820928
India,33408.0,951166,495499,44457.0,637.0,33598,2.26,64.26,3.51,1155338,324735,28.11,64.26480315497952,1480073.0,2.2571859631247917
Indonesia,4838.0,58173,37292,1525.0,57.0,1518,4.82,58.0,8.32,88214,12089,13.7,57.99726827712033,100303.0,4.82338514301666
Iran,15912.0,255144,22550,2434.0,212.0,1931,5.42,86.9,6.24,276202,17404,6.3,86.90013146870295,293606.0,5.419507775726654
Iraq,4458.0,77144,30983,2553.0,96.0,1927,3.96,68.52,5.78,94693,17892,18.89,68.52067326908558,112585.0,3.9596749122884933
Ireland,1764.0,23364,764,11.0,0.0,0,6.81,90.24,7.55,25766,126,0.49,90.23636644523405,25892.0,6.812915186157886
Israel,474.0,27133,36378,2029.0,4.0,108,0.74,42.41,1.75,52003,11982,23.04,42.40525123075721,63985.0,0.7407986246776588
Italy,35112.0,198593,12581,168.0,5.0,147,14.26,80.64,17.68,244624,1662,0.68,80.63511527248808,246286.0,14.256595990027854
Jamaica,10.0,714,129,11.0,0.0,0,1.17,83.7,1.4,809,44,5.44,83.70457209847598,853.0,1.1723329425556859
Japan,998.0,21970,8174,594.0,0.0,364,3.2,70.55,4.54,25706,5436,21.15,70.5478132425663,31142.0,3.2046753580373775
Jordan,11.0,1041,124,8.0,0.0,0,0.94,88.52,1.06,1223,-47,-3.84,88.5204081632653,1176.0,0.935374149659864
Kazakhstan,585.0,54404,29659,1526.0,0.0,1833,0.69,64.27,1.08,73468,11180,15.22,64.27086286740384,84648.0,0.6910972497873547
Kenya,285.0,7833,9857,372.0,5.0,90,1.59,43.58,3.64,13771,4204,30.53,43.57719054242003,17975.0,1.5855354659248957
Kosovo,185.0,4027,3201,496.0,16.0,274,2.5,54.32,4.59,5877,1536,26.14,54.32348576824497,7413.0,2.495615810063402
Kuwait,438.0,55057,8884,606.0,5.0,684,0.68,85.52,0.8,59763,4616,7.72,85.52012302148216,64379.0,0.680346075583653
Kyrgyzstan,1301.0,21205,10790,483.0,24.0,817,3.91,63.69,6.14,27143,6153,22.67,63.686328688130715,33296.0,3.9073762614127823
Laos,0.0,19,1,0.0,0.0,0,0.0,95.0,0.0,19,1,5.26,95.0,20.0,0.0
Latvia,31.0,1045,143,1282.7401129943503,30.401129943502823,0,2.54,85.73,2.97,1192,27,2.27,85.72600492206726,1219.0,2.543068088597211
Lebanon,51.0,1709,2122,132.0,0.0,17,1.31,44.02,2.98,2905,977,33.63,44.0236991241628,3882.0,1.313755795981453
Lesotho,12.0,128,365,0.0,0.0,0,2.38,25.35,9.38,359,146,40.67,25.346534653465348,505.0,2.376237623762376
Liberia,72.0,646,449,5.0,0.0,5,6.17,55.36,11.15,1107,60,5.42,55.35561268209083,1167.0,6.169665809768637
Libya,64.0,577,2186,158.0,4.0,24,2.26,20.41,11.09,1980,847,42.78,20.410328970640254,2827.0,2.2638839759462326
Liechtenstein,1.0,81,4,0.0,0.0,0,1.16,94.19,1.23,86,0,0.0,94.18604651162791,86.0,1.1627906976744187
Lithuania,80.0,1620,319,11.0,0.0,4,3.96,80.24,4.94,1947,72,3.7,80.23774145616642,2019.0,3.96235760277365
Luxembourg,112.0,4825,1384,49.0,0.0,178,1.77,76.33,2.32,5639,682,12.09,76.3328587248853,6321.0,1.7718715393133997
Madagascar,91.0,6260,3339,395.0,6.0,681,0.94,64.6,1.45,7153,2537,35.47,64.60268317853458,9690.0,0.9391124871001032
Malawi,99.0,1645,1920,24.0,0.0,6,2.7,44.9,6.02,2992,672,22.46,44.896288209606986,3664.0,2.7019650655021836
Malaysia,124.0,8601,179,7.0,0.0,1,1.39,96.6,1.44,8800,104,1.18,96.59703504043127,8904.0,1.3926325247079965
Maldives,15.0,2547,807,67.0,0.0,19,0.45,75.6,0.59,2999,370,12.34,75.60106856634016,3369.0,0.44523597506678536
Mali,124.0,1913,476,3.0,1.0,2,4.93,76.12,6.48,2475,38,1.54,76.1241543971349,2513.0,4.934341424592121
Malta,9.0,665,27,1.0,0.0,0,1.28,94.86,1.35,677,24,3.55,94.8644793152639,701.0,1.2838801711840229
Mauritania,156.0,4653,1399,37.0,0.0,223,2.51,74.95,3.35,5923,285,4.81,74.95167525773195,6208.0,2.5128865979381443
Mauritius,10.0,332,2,0.0,0.0,0,2.91,96.51,3.01,343,1,0.29,96.51162790697676,344.0,2.9069767441860463
Mexico,44022.0,303810,47657,4973.0,342.0,8588,11.13,76.82,14.49,349396,46093,13.19,76.8188242909411,395489.0,11.131030193001576
Moldova,748.0,16154,6252,1282.7401129943503,30.401129943502823,245,3.23,69.77,4.63,21115,2039,9.66,69.76764273991535,23154.0,3.2305433186490458
Monaco,4.0,104,8,0.0,0.0,0,3.45,89.66,3.85,109,7,6.42,89.65517241379311,116.0,3.4482758620689653
Mongolia,0.0,222,67,1.0,0.0,4,0.0,76.82,0.0,287,2,0.7,76.8166089965398,289.0,0.0
Montenegro,45.0,809,2039,94.0,2.0,70,1.56,27.96,5.56,2188,705,32.22,27.964051157967507,2893.0,1.555478741790529
Morocco,316.0,16553,4018,609.0,3.0,115,1.51,79.25,1.91,17562,3325,18.93,79.25025135251592,20887.0,1.5129027624838416
Mozambique,11.0,0,1690,32.0,0.0,0,0.65,0.0,inf,1507,194,12.87,0.0,1701.0,0.6466784244562023
Namibia,8.0,101,1734,68.0,0.0,26,0.43,5.48,7.92,1344,499,37.13,5.480195333695062,1843.0,0.4340748779164406
Nepal,48.0,13754,4950,139.0,3.0,626,0.26,73.35,0.35,17844,908,5.09,73.34684300341297,18752.0,0.25597269624573377
Netherlands,6160.0,189,47064,419.0,1.0,0,11.53,0.35,3259.26,52132,1281,2.46,0.35384644187744557,53413.0,11.532772920450078
New Zealand,22.0,1514,21,1282.7401129943503,30.401129943502823,1,1.41,97.24,1.45,1555,2,0.13,97.23827874116891,1557.0,1.4129736673089275
Nicaragua,108.0,2492,839,0.0,0.0,0,3.14,72.46,4.33,3147,292,9.28,72.46292526897355,3439.0,3.1404478045943587
Niger,69.0,1027,36,0.0,0.0,0,6.1,90.72,6.72,1105,27,2.44,90.7243816254417,1132.0,6.095406360424029
Nigeria,860.0,18203,22117,648.0,2.0,829,2.09,44.2,4.72,37225,3955,10.62,44.20349684312773,41180.0,2.0883924235065567
North Macedonia,466.0,5564,4183,127.0,6.0,137,4.56,54.48,8.38,9249,964,10.42,54.47958484284735,10213.0,4.562812102222658
Norway,255.0,8752,125,15.0,0.0,0,2.79,95.84,2.91,9034,98,1.08,95.83880858519493,9132.0,2.7923784494086727
Oman,393.0,57028,19637,1053.0,9.0,1729,0.51,74.01,0.69,68400,8658,12.66,74.00659243686573,77058.0,0.5100054504399283
Pakistan,5842.0,241026,27421,1176.0,20.0,3592,2.13,87.87,2.42,266096,8193,3.08,87.87300985456945,274289.0,2.1298703192618005
Panama,1322.0,35086,25034,1146.0,28.0,955,2.15,57.1,3.77,54426,7016,12.89,57.10426092900621,61442.0,2.1516226685329256
Papua New Guinea,0.0,11,51,0.0,0.0,0,0.0,17.74,0.0,19,43,226.32,17.741935483870968,62.0,0.0
Paraguay,43.0,2905,1600,104.0,2.0,111,0.95,63.87,1.48,3748,800,21.34,63.87423043095867,4548.0,0.9454705364995603
Peru,18418.0,272547,98752,13756.0,575.0,4697,4.73,69.93,6.76,357681,32036,8.96,69.93459356404776,389717.0,4.725993477318156
Philippines,1945.0,26446,53649,1592.0,13.0,336,2.37,32.24,7.35,68898,13142,19.07,32.23549488054607,82040.0,2.3707947342759628
Poland,1676.0,32856,8870,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,75.70158057232386,43402.0,3.8615731993917333
Portugal,1719.0,35375,13205,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,70.32943000854888,50299.0,3.417562973418955
Qatar,165.0,106328,3104,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,97.0172541219194,109597.0,0.1505515661925053
Romania,2206.0,25794,17902,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,56.19362990719359,45902.0,4.805890810857915
Russia,13334.0,602249,201097,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,73.74357153352598,816680.0,1.632708037419797
Rwanda,5.0,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,51.889302820649284,1879.0,0.2660989888238425
Saint Kitts and Nevis,0.0,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,88.23529411764706,17.0,0.0
Saint Lucia,0.0,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,91.66666666666666,24.0,0.0
Saint Vincent and the Grenadines,0.0,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,75.0,52.0,0.0
San Marino,42.0,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,93.99141630901288,699.0,6.008583690987124
Sao Tome and Principe,14.0,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,84.85549132947978,865.0,1.6184971098265895
Saudi Arabia,2760.0,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,82.89617526976879,268934.0,1.0262741044271086
Senegal,194.0,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,66.33551823023352,9764.0,1.9868906185989348
Serbia,543.0,0,23598,411.0,9.0,0,2.25,0.0,inf,21253,2888,13.59,0.0,24141.0,2.249285447993041
Seychelles,0.0,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,34.21052631578947,114.0,0.0
Sierra Leone,66.0,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,73.86427369601795,1783.0,3.701626472237801
Singapore,27.0,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,89.87765057634053,50838.0,0.05310987843738935
Slovakia,28.0,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,74.094452086199,2181.0,1.2838147638697845
Slovenia,116.0,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,83.03785337805462,2087.0,5.558217537134643
Somalia,93.0,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,48.27909887359199,3196.0,2.909887359198999
South Africa,7067.0,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,60.75301251411511,452529.0,1.5616678710093719
South Korea,300.0,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,91.5792438217278,14203.0,2.1122298106033934
South Sudan,46.0,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,50.97613882863341,2305.0,1.9956616052060738
Spain,28432.0,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,55.19985610507266,272421.0,10.436787178668311
Sri Lanka,11.0,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,75.61497326203208,2805.0,0.39215686274509803
Sudan,720.0,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,51.98704481792718,11424.0,6.302521008403361
Suriname,24.0,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,62.37356709372893,1483.0,1.6183412002697235
Sweden,5700.0,0,73695,398.0,3.0,0,7.18,0.0,inf,78048,1347,1.73,0.0,79395.0,7.179293406385792
Switzerland,1978.0,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,89.62496736955072,34477.0,5.737158105403602
Syria,40.0,0,634,24.0,2.0,0,5.93,0.0,inf,522,152,29.12,0.0,674.0,5.934718100890208
Taiwan*,7.0,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,95.23809523809523,462.0,1.5151515151515151
Tajikistan,60.0,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,83.31720801658604,7235.0,0.82930200414651
Tanzania,21.0,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,35.952848722986246,509.0,4.12573673870334
Thailand,58.0,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,94.35850773430391,3297.0,1.7591750075826509
Timor-Leste,0.0,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,0.0,24.0,0.0
Togo,18.0,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,69.45080091533181,874.0,2.059496567505721
Trinidad and Tobago,8.0,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,86.48648648648648,148.0,5.405405405405405
Tunisia,50.0,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,79.51890034364261,1455.0,3.436426116838488
Turkey,5630.0,210469,10920,1282.7401129943503,30.401129943502823,982,2.48,92.71,2.67,220572,6447,2.92,92.7098612891432,227019.0,2.4799686369863316
US,148011.0,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,30.902656459668286,4290259.0,3.4499315775574386
Uganda,2.0,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,87.41134751773049,1128.0,0.1773049645390071
Ukraine,1636.0,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,55.44592822224872,67096.0,2.438297364969596
United Arab Emirates,345.0,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,88.73379860418744,59177.0,0.5829967723946804
United Kingdom,45844.0,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,0.47628833176448754,301708.0,15.194824134593713
Uruguay,35.0,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,79.11813643926789,1202.0,2.9118136439267883
Uzbekistan,121.0,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,55.042670564383045,21209.0,0.5705125182705455
Venezuela,146.0,9959,5883,1282.7401129943503,30.401129943502823,213,0.91,62.29,1.47,12334,3654,29.63,62.29046785088816,15988.0,0.9131848886664998
Vietnam,0.0,365,66,1282.7401129943503,30.401129943502823,0,0.0,84.69,0.0,384,47,12.24,84.68677494199535,431.0,0.0
West Bank and Gaza,78.0,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,35.326240466999344,10621.0,0.7343941248470013
Western Sahara,1.0,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,80.0,10.0,10.0
Yemen,483.0,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,49.260792430514485,1691.0,28.562980484920164
Zambia,140.0,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,61.840949033391915,4552.0,3.0755711775043935
Zimbabwe,3516.1290322580644,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,20.04437869822485,6184.129032258064,56.85730381622051
